pseudonym_id,original_id
ID0001,0
ID0002,1
ID0003,2
ID0004,3
ID0005,4
ID0006,5
ID0007,6
ID0008,7
ID0009,8
ID0010,9
ID0011,10
ID0012,11
ID0013,12
ID0014,13
ID0015,14
ID0016,15
ID0017,16
ID0018,17
ID0019,18
ID0020,19
ID0021,20
ID0022,21
ID0023,22
ID0024,23
ID0025,24
ID0026,25
ID0027,26
ID0028,27
ID0029,28
ID0030,29
ID0031,30
ID0032,31
ID0033,32
ID0034,33
ID0035,34
ID0036,35
ID0037,36
ID0038,37
ID0039,38
ID0040,39
ID0041,40
ID0042,41
ID0043,42
ID0044,43
ID0045,44
ID0046,45
ID0047,46
ID0048,47
ID0049,48
ID0050,49
ID0051,50
ID0052,51
ID0053,52
ID0054,53
ID0055,54
ID0056,55
ID0057,56
ID0058,57
ID0059,58
ID0060,59
ID0061,60
ID0062,61
ID0063,62
ID0064,63
ID0065,64
ID0066,65
ID0067,66
ID0068,67
ID0069,68
ID0070,69
ID0071,70
ID0072,71
ID0073,72
ID0074,73
ID0075,74
ID0076,75
ID0077,76
ID0078,77
ID0079,78
ID0080,79
ID0081,80
ID0082,81
ID0083,82
ID0084,83
ID0085,84
ID0086,85
ID0087,86
ID0088,87
ID0089,88
ID0090,89
ID0091,90
ID0092,91
ID0093,92
ID0094,93
ID0095,94
ID0096,95
ID0097,96
ID0098,97
ID0099,98
ID0100,99
ID0101,100
ID0102,101
ID0103,102
ID0104,103
ID0105,104
ID0106,105
ID0107,106
ID0108,107
ID0109,108
ID0110,109
ID0111,110
ID0112,111
ID0113,112
ID0114,113
ID0115,114
ID0116,115
ID0117,116
ID0118,117
ID0119,118
ID0120,119
ID0121,120
ID0122,121
ID0123,122
ID0124,123
ID0125,124
ID0126,125
ID0127,126
ID0128,127
ID0129,128
ID0130,129
ID0131,130
ID0132,131
ID0133,132
ID0134,133
ID0135,134
ID0136,135
ID0137,136
ID0138,137
ID0139,138
ID0140,139
ID0141,140
ID0142,141
ID0143,142
ID0144,143
ID0145,144
ID0146,145
ID0147,146
ID0148,147
ID0149,148
ID0150,149
ID0151,150
ID0152,151
ID0153,152
ID0154,153
ID0155,154
ID0156,155
ID0157,156
ID0158,157
ID0159,158
ID0160,159
ID0161,160
ID0162,161
ID0163,162
ID0164,163
ID0165,164
ID0166,165
ID0167,166
ID0168,167
ID0169,168
ID0170,169
ID0171,170
ID0172,171
ID0173,172
ID0174,173
ID0175,174
ID0176,175
ID0177,176
ID0178,177
ID0179,178
ID0180,179
ID0181,180
ID0182,181
ID0183,182
ID0184,183
ID0185,184
ID0186,185
ID0187,186
ID0188,187
ID0189,188
ID0190,189
ID0191,190
ID0192,191
ID0193,192
ID0194,193
ID0195,194
ID0196,195
ID0197,196
ID0198,197
ID0199,198
ID0200,199
ID0201,200
ID0202,201
ID0203,202
ID0204,203
ID0205,204
ID0206,205
ID0207,206
ID0208,207
ID0209,208
ID0210,209
ID0211,210
ID0212,211
ID0213,212
ID0214,213
ID0215,214
ID0216,215
ID0217,216
ID0218,217
ID0219,218
ID0220,219
ID0221,220
ID0222,221
ID0223,222
ID0224,223
ID0225,224
ID0226,225
ID0227,226
ID0228,227
ID0229,228
ID0230,229
ID0231,230
ID0232,231
ID0233,232
ID0234,233
ID0235,234
ID0236,235
ID0237,236
ID0238,237
ID0239,238
ID0240,239
ID0241,240
ID0242,241
ID0243,242
ID0244,243
ID0245,244
ID0246,245
ID0247,246
ID0248,247
ID0249,248
ID0250,249
ID0251,250
ID0252,251
ID0253,252
ID0254,253
ID0255,254
ID0256,255
ID0257,256
ID0258,257
ID0259,258
ID0260,259
ID0261,260
ID0262,261
ID0263,262
ID0264,263
ID0265,264
ID0266,265
ID0267,266
ID0268,267
ID0269,268
ID0270,269
ID0271,270
ID0272,271
ID0273,272
ID0274,273
ID0275,274
ID0276,275
ID0277,276
ID0278,277
ID0279,278
ID0280,279
ID0281,280
ID0282,281
ID0283,282
ID0284,283
ID0285,284
ID0286,285
ID0287,286
ID0288,287
ID0289,288
ID0290,289
ID0291,290
ID0292,291
ID0293,292
